a1,a0,q2,q1,q0,q2',q1',q0'
0,0,0,0,0,INVALID STATE
0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0
0,0,0,1,1,0,1,1
0,0,1,0,0,INVALID STATE
0,0,1,0,1,1,0,1
0,0,1,1,0,1,1,0
0,0,1,1,1,1,1,1
0,1,0,0,0,INVALID STATE
0,1,0,0,1,0,1,0
0,1,0,1,0,1,1,0
0,1,0,1,1,0,1,1
0,1,1,0,0,INVALID STATE
0,1,1,0,1,1,0,0
0,1,1,1,0,1,1,1
0,1,1,1,1,1,0,1
1,0,0,0,0,INVALID STATE
1,0,0,0,1,1,1,0
1,0,0,1,0,0,1,1
1,0,0,1,1,1,1,1
1,0,1,0,0,INVALID STATE
1,0,1,0,1,1,0,0
1,0,1,1,0,1,0,1
1,0,1,1,1,1,0,0
1,1,0,0,0,INVALID STATE
1,1,0,0,1,INVALID INPUT
1,1,0,1,0,INVALID INPUT
1,1,0,1,1,INVALID INPUT
1,1,1,0,0,INVALID STATE
1,1,1,0,1,INVALID INPUT
1,1,1,1,0,INVALID INPUT
1,1,1,1,1,INVALID INPUT





a1,a0,q2,q1,q0,q2',q1',q0'
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0
0,0,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,1,1,0,1
0,0,1,1,0,INVALID STATE
0,0,1,1,1,INVALID STATE
0,1,0,0,0,1,0,1
0,1,0,0,1,1,1,0
0,1,0,1,0,0,0,1
0,1,0,1,1,0,1,0
0,1,1,0,0,0,0,0
0,1,1,0,1,1,0,0
0,1,1,1,0,INVALID STATE
0,1,1,1,1,INVALID STATE
1,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0
1,0,1,0,0,1,0,1
1,0,1,0,1,1,1,0
1,0,1,1,0,INVALID STATE
1,0,1,1,1,INVALID STATE
1,1,0,0,0,INVALID INPUT
1,1,0,0,1,INVALID INPUT
1,1,0,1,0,INVALID INPUT
1,1,0,1,1,INVALID INPUT
1,1,1,0,0,INVALID INPUT
1,1,1,0,1,INVALID INPUT
1,1,1,1,0,INVALID STATE
1,1,1,1,1,INVALID STATE




a1,a0,q2,q1,q0,q2',q1',q0'
0,0,0,0,0,0,0,0
0,0,0,0,1,INVALID STATE
0,0,0,1,0,0,1,0
0,0,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,1,INVALID STATE
0,0,1,1,0,1,1,0
0,0,1,1,1,1,1,1
0,1,0,0,0,0,1,0
0,1,0,0,1,INVALID STATE
0,1,0,1,0,1,1,0
0,1,0,1,1,1,1,1
0,1,1,0,0,0,1,1
0,1,1,0,1,INVALID STATE
0,1,1,1,0,0,0,0
0,1,1,1,1,0,0,1
1,0,0,0,0,1,1,0
1,0,0,0,1,INVALID STATE
1,0,0,1,0,1,1,1
1,0,0,1,1,1,1,1
1,0,1,0,0,0,0,0
1,0,1,0,1,INVALID STATE
1,0,1,1,0,0,1,0
1,0,1,1,1,0,1,1
1,1,0,0,0,INVALID INPUT
1,1,0,0,1,INVALID STATE
1,1,0,1,0,INVALID INPUT
1,1,0,1,1,INVALID INPUT
1,1,1,0,0,INVALID INPUT
1,1,1,0,1,INVALID STATE
1,1,1,1,0,INVALID INPUT
1,1,1,1,1,INVALID INPUT


a1,a0,q2,q1,q0,q2',q1',q0'
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1
0,0,0,1,0,INVALID STATE
0,0,0,1,1,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,1,1,0,1
0,0,1,1,0,INVALID STATE
0,0,1,1,1,1,1,1
0,1,0,0,0,1,0,0
0,1,0,0,1,1,1,0
